datetime,SP15,NonSpin,RegDown,RegUp,Spin,expected_price,expected_upper,expected_lower,anomaly,is_genuine,anomaly_adjusted,gradcam,volatility
2023-01-12 08:00:00,137.10658666666666,0.27,7.989999999999999,21.00347,19.92778,59.235836,126.127335,-7.6556664,0.27582075949444995,0.5362392502090226,0.27582075949444995,0.52815455,
2023-01-12 09:00:00,131.64863,0.27,7.989999999999999,7.53989,7.529889999999999,54.9139,121.805405,-11.977604,0.09050142592135331,0.48021881652794773,0.09050142592135331,0.7514918,
2023-01-12 10:00:00,130.25271333333333,0.27,4.36,7.169999999999999,7.16,50.268562,117.160065,-16.62294,0.27655670692273887,0.5232602855064294,0.27655670692273887,0.497275,
2023-01-12 11:00:00,130.66377333333332,0.27,4.36,7.169999999999999,7.16,49.245995,116.1375,-17.645508,0.2722723141023261,0.5348513618481419,0.2722723141023261,0.4032062,
2023-01-12 12:00:00,132.55216,0.27,7.94,9.71297,9.70297,53.034042,119.925545,-13.85746,0.27182432238557325,0.5213814106934638,0.27182432238557325,0.46984187,
2023-01-12 13:00:00,148.53872333333334,0.27,7.989999999999999,16.0,16.0,56.65096,123.542465,-10.240543,0.10174476012371907,0.38279187929257885,0.10174476012371907,0.43844187,
2023-01-12 14:00:00,173.15314,0.28,7.989999999999999,32.01096,26.15096,63.84565,130.73715,-3.0458527,0.12111142421234904,0.302218532476149,0.12111142421234904,0.74988216,
2023-01-12 15:00:00,169.98605,0.28,25.22064,32.96439,32.96439,38.44616,105.33766,-28.445343,0.3544792442771067,0.653670225019046,0.3544792442771067,0.6077447,
2023-01-12 16:00:00,138.79609000000002,0.28,16.14867,28.36675,28.36675,29.898071,96.78957,-36.99343,0.09482509227935887,0.37992968005839123,0.09482509227935887,0.51710016,
2023-01-12 17:00:00,130.27565,0.28,8.0,16.0,15.660000000000002,31.852777,98.74428,-35.038727,0.2790618817557538,0.5916049627062603,0.2790618817557538,0.34790146,
2023-01-12 18:00:00,126.02344333333333,0.28,6.20487,11.31743,8.97743,21.896587,88.788086,-44.994915,0.26604337019828794,0.6325729058428333,0.26604337019828794,0.25378206,
2023-01-12 19:00:00,122.86995666666667,0.28,7.55,6.89112,4.8153500000000005,25.84266,92.73416,-41.048843,0.2544819528466813,0.6412031149445288,0.2544819528466813,0.4100882,
2023-01-12 20:00:00,121.59845,0.28,7.63,5.38,3.0499999999999994,25.807175,92.69868,-41.084328,0.25339023019751494,0.5249300253329495,0.25339023019751494,0.57288754,
2023-01-12 21:00:00,119.25768,0.28,8.63,3.20609,2.01609,38.91589,105.80739,-27.975613,0.0818478058560637,0.3787026755037971,0.0818478058560637,0.5463231,
2023-01-12 22:00:00,122.85581333333333,0.28,9.07176,9.73,7.849999999999999,31.752712,98.64421,-35.13879,0.08431321947104894,0.3654585938799254,0.08431321947104894,0.40322182,
2023-01-12 23:00:00,141.19075999999998,0.28,17.15,42.45001,39.50001,45.619926,112.51143,-21.271576,0.09750769023134104,0.21975740026682783,0.09750769023134104,0.104158394,
2023-01-13 00:00:00,166.32143666666667,0.28,27.78273,19.18463,19.18463,57.84579,124.73729,-9.0457115,0.1146451837256718,0.15678009767155926,0.1146451837256718,0.17833593,
2023-01-13 01:00:00,177.52094666666667,0.28,12.31651,39.4616,38.4916,76.3373,143.2288,9.445801,0.12378078064249472,0.3012218523902821,0.12378078064249472,0.18531129,
2023-01-13 02:00:00,172.65667333333332,0.28,8.45502,30.05177,30.05177,89.59556,156.48706,22.704056,0.11913046948422634,0.3643071230873295,0.11913046948422634,0.44591638,
2023-01-13 03:00:00,166.49951333333334,0.28,7.82,19.44115,19.44115,69.938934,136.83044,3.047432,0.11390266248169502,0.34985694423574604,0.11390266248169502,0.2223709,
2023-01-13 04:00:00,159.80700333333334,0.28,13.339999999999998,19.0,19.0,66.52998,133.42148,-0.36151886,0.10893442793350568,0.3427256736657036,0.10893442793350568,0.2955337,
2023-01-13 05:00:00,149.68127666666666,0.28,12.5,27.74184,27.74184,68.92353,135.81503,2.0320282,0.10187300951520441,0.3051733772637302,0.10187300951520441,0.5680464,
2023-01-13 06:00:00,145.79702999999998,0.28,7.989999999999999,12.307430000000002,12.307430000000002,56.107002,122.998505,-10.7845,0.0990464774747217,0.3664617632158751,0.0990464774747217,0.280322,
2023-01-13 07:00:00,142.44851666666668,0.28,7.0,13.46278,13.46278,51.79576,118.68726,-15.095741,0.09821030936068555,0.3692068979702048,0.09821030936068555,0.034688734,18.69063927771309
2023-01-13 08:00:00,173.82501666666667,0.12,4.34,6.04,2.7999999999999994,57.541794,124.4333,-9.349709,0.12176264389956613,0.24098180366903432,0.12176264389956613,0.015754694,19.578226174719124
2023-01-13 09:00:00,169.94611999999998,0.12,4.37,3.0,0.5,56.70467,123.596176,-10.186832,0.1175380409135725,0.4992074285585063,0.1175380409135725,0.035192113,19.949515727562968
2023-01-13 10:00:00,170.30832666666666,0.12,10.47158,4.34897,1.5,48.26456,115.15607,-18.626942,0.35297838218613775,0.53397199598242,0.35297838218613775,0.016734164,20.14565080860831
2023-01-13 11:00:00,171.94928666666667,0.12,4.35,3.0,1.5,44.109318,111.000824,-22.782185,0.3560139192719838,0.5208965950338365,0.3560139192719838,0.018295182,20.286756458364046
2023-01-13 12:00:00,177.91619666666668,0.16,4.32,3.0,1.5,58.771614,125.66312,-8.119888,0.12495911836832994,0.4782846471741567,0.12495911836832994,0.023537556,20.644460831750852
2023-01-13 13:00:00,201.47799333333333,0.16,10.13,9.04,7.29,59.1699,126.0614,-7.7216034,0.13639885002626836,0.3060377459835299,0.13639885002626836,0.009101375,22.91028101122409
2023-01-13 14:00:00,227.43287333333333,0.16,9.0,12.5,2.84,60.073223,126.96472,-6.8182793,0.14628657459193817,0.28911546637647506,0.14628657459193817,0.048352893,27.108427274786028
2023-01-13 15:00:00,221.17639999999997,0.14,50.01000000000001,26.66444,19.00444,43.69508,110.58658,-23.196423,0.14642690909956618,0.48907959057997474,0.14642690909956618,0.030227931,30.035754181147695
2023-01-13 16:00:00,196.84177,0.16,33.85,10.38,9.02,34.170918,101.06242,-32.720585,0.13722884300289376,0.30208289348382433,0.13722884300289376,0.042608686,30.662884946198833
2023-01-13 17:00:00,185.77182000000002,0.16,9.0,9.09,7.7299999999999995,32.842907,99.734406,-34.048595,0.1317413889388384,0.4339756733411545,0.1317413889388384,0.038590305,30.2972315502954
2023-01-13 18:00:00,179.23952,0.16,9.0,9.02,6.46,22.744251,89.63576,-44.14725,0.1275041706152232,0.4772047061903363,0.1275041706152232,0.057766348,29.34475589101779
2023-01-13 19:00:00,171.03875333333335,0.14,8.0,5.64,1.5,21.726732,88.61823,-45.164772,0.11936189442998923,0.45679125851951785,0.11936189442998923,0.13686202,27.875954320271116
2023-01-13 20:00:00,167.49301,0.14,10.52203,4.29,1.5,28.822004,95.71351,-38.069496,0.11775296185200265,0.36809236737833895,0.11775296185200265,0.10891798,26.068333888057197
2023-01-13 21:00:00,165.37154666666666,0.14,8.760000000000002,3.0,1.5,36.384594,103.27609,-30.506908,0.11519360543211639,0.38050403810742084,0.11519360543211639,0.054551724,23.768642650850314
2023-01-13 22:00:00,170.47843666666668,0.14,11.54,9.0,7.121489999999999,29.126131,96.01763,-37.765373,0.11878696798720019,0.3501459171301485,0.11878696798720019,0.073922925,21.36647300426751
2023-01-13 23:00:00,188.66504999999998,0.16,16.62666,9.16,7.8,42.014633,108.906136,-24.87687,0.13129864492213494,0.2213893705339341,0.13129864492213494,0.009131272,20.38742457216653
2023-01-14 00:00:00,219.6145766666667,0.14,29.61713,11.821980000000002,11.821980000000002,58.76697,125.65848,-8.124531,0.1453765114495258,0.112783946742266,0.1453765114495258,0.016262412,22.135309103967447
2023-01-14 01:00:00,226.14915333333332,0.16,9.93,18.36,12.5,76.19618,143.08768,9.30468,0.14468819466101476,0.34944564975080894,0.14468819466101476,0.058510736,24.21377200101398
2023-01-14 02:00:00,219.35472000000001,0.16,8.21,6.09554,6.09554,85.27464,152.16614,18.38314,0.14367709594831868,0.34802105270567646,0.14367709594831868,0.20220143,25.43781051318286
2023-01-14 03:00:00,211.82333333333335,0.16,7.109999999999999,6.97082,3.33,67.04166,133.93317,0.15015411,0.14212122300694632,0.3416128606239145,0.14212122300694632,0.5159938,25.91406432930785
2023-01-14 04:00:00,205.43143333333333,0.14,9.0,10.31,10.31,66.23612,133.12762,-0.65538025,0.13837933493226998,0.35439628874843876,0.13837933493226998,0.3662984,25.742671963495955
2023-01-14 05:00:00,191.09122666666667,0.14,9.0,22.19,22.19,72.15625,139.04776,5.2647476,0.13144054424159762,0.2732533843736976,0.13144054424159762,0.25547427,24.57785612575462
2023-01-14 06:00:00,188.10414,0.14,9.0,7.0,7.0,54.623695,121.5152,-12.267807,0.13080618794735124,0.3895256002383741,0.13080618794735124,0.33682418,22.91574161370771
2023-01-14 07:00:00,182.84732333333332,0.14,9.0,23.56442,17.60715,52.429794,119.3213,-14.461708,0.1271529771931045,0.3672340222548033,0.1271529771931045,0.12677996,20.702273640552693
2023-01-14 08:00:00,142.96223333333333,0.12,4.34,18.47886,17.08833,25.50507,92.396576,-41.386433,0.09923531649717586,0.11263436473142104,0.09923531649717586,0.157805,22.678008183707277
2023-01-14 09:00:00,135.60352666666668,0.12,9.0,9.65887,9.65887,31.209484,98.10098,-35.68202,0.0938895618354907,0.3365951264587352,0.0938895618354907,0.25906095,24.947672964854323
2023-01-14 10:00:00,130.07102666666665,0.16,4.36,5.534209999999999,5.534209999999999,15.905656,82.79716,-50.985847,0.09194632180377293,0.3539427773958525,0.09194632180377293,0.2418894,27.43434414582381
2023-01-14 11:00:00,125.94145333333334,0.16,4.36,3.93769,3.68595,23.301271,90.19277,-43.590233,0.08822409524027992,0.36734335322106026,0.08822409524027992,0.20533107,29.989503377210877
2023-01-14 12:00:00,129.39844666666667,0.16,4.0,5.44,5.44,32.085423,98.97693,-34.80608,0.09084464766489414,0.37500840936110735,0.09084464766489414,0.2382688,32.02989633816848
2023-01-14 13:00:00,131.26644000000002,0.12,6.0,5.44,5.44,26.449024,93.34053,-40.44248,0.09062475960202188,0.3917633052901141,0.09062475960202188,0.30907887,33.41121505455132
2023-01-14 14:00:00,134.18097333333333,0.12,7.989999999999999,9.0,9.0,32.54877,99.44028,-34.34273,0.09329997084290759,0.38221562980806495,0.09329997084290759,0.15821598,33.04094943403932
2023-01-14 15:00:00,137.85571000000002,0.14,28.16219,10.37604,10.37604,20.958353,87.84985,-45.93315,0.2792369371583857,0.5092530684479464,0.2792369371583857,0.16218172,32.441023988725966
2023-01-14 16:00:00,130.38166333333334,0.14,27.07575,9.0,9.0,3.4492917,70.3408,-63.44221,0.0922443135698538,0.469677278156744,0.0922443135698538,0.15139398,33.0902582324209
2023-01-14 17:00:00,124.72258666666666,0.14,23.80077,4.35,4.35,-0.27280506,66.6187,-67.16431,0.08737186455906196,0.48660327363707345,0.08737186455906196,0.1280322,34.122551674325116
2023-01-14 18:00:00,124.75853000000001,0.14,9.0,4.36,3.2000000000000006,-5.537197,61.354305,-72.428696,0.26167384365457536,0.5424975000923726,0.26167384365457536,8.630641e-05,35.074956948055075
2023-01-14 19:00:00,122.53941666666667,0.16,9.0,9.02,7.739999999999999,9.442813,76.33431,-57.44869,0.25711494013316505,0.5184809595410504,0.25711494013316505,0.05453016,36.081088304498664
2023-01-14 20:00:00,120.82860666666666,0.14,10.28748,9.0,7.72,-2.8996475,63.991856,-69.79115,0.252947378067232,0.5218257103114592,0.252947378067232,0.07381922,37.05871993508141
