datetime,SP15,NonSpin,RegDown,RegUp,Spin,expected_price,expected_upper,expected_lower,anomaly,is_genuine,anomaly_adjusted,gradcam,volatility
2023-01-12 08:00:00,137.10658666666666,0.27,7.989999999999999,21.00347,19.92778,25.460463,94.44474,-43.52381,0.2815407328075148,0.5362392502090226,0.2815407328075148,0.50006026,
2023-01-12 09:00:00,131.64863,0.27,7.989999999999999,7.53989,7.529889999999999,16.188183,85.172455,-52.796093,0.09248452370604197,0.47967751880287374,0.09248452370604197,0.854486,
2023-01-12 10:00:00,130.25271333333333,0.27,4.36,7.169999999999999,7.16,25.167025,94.1513,-43.817253,0.2811523528938943,0.5231218442247911,0.2811523528938943,0.5471097,
2023-01-12 11:00:00,130.66377333333332,0.27,4.36,7.169999999999999,7.16,34.43662,103.4209,-34.547657,0.27862083929304143,0.534810594605663,0.27862083929304143,0.42584917,
2023-01-12 12:00:00,132.55216,0.27,7.94,9.71297,9.70297,46.772034,115.75631,-22.212242,0.27906085876967324,0.521194128259917,0.27906085876967324,0.42022344,
2023-01-12 13:00:00,148.53872333333334,0.27,7.989999999999999,16.0,16.0,18.805204,87.78948,-50.17907,0.10645588629197836,0.3812063976017963,0.10645588629197836,0.497576,
2023-01-12 14:00:00,173.15314,0.28,7.989999999999999,32.01096,26.15096,35.98135,104.96562,-33.002926,0.12277542832437666,0.299777375728412,0.12277542832437666,0.685134,
2023-01-12 15:00:00,169.98605,0.28,25.22064,32.96439,32.96439,13.695967,82.680244,-55.288307,0.3621869112857805,0.6533561260408378,0.3621869112857805,0.5635143,
2023-01-12 16:00:00,138.79609000000002,0.28,16.14867,28.36675,28.36675,-3.4382985,65.545975,-72.42258,0.09772454050046331,0.37992968005839123,0.09772454050046331,0.54323894,
2023-01-12 17:00:00,130.27565,0.28,8.0,16.0,15.660000000000002,2.9070823,71.89136,-66.077194,0.2851169114966225,0.5907599404625337,0.2851169114966225,0.4677858,
2023-01-12 18:00:00,126.02344333333333,0.28,6.20487,11.31743,8.97743,4.92478,73.90906,-64.059494,0.27173909152657627,0.6321511894504575,0.27173909152657627,0.27928862,
2023-01-12 19:00:00,122.86995666666667,0.28,7.55,6.89112,4.8153500000000005,-3.5421326,65.44215,-72.526405,0.25882561579981334,0.6408903650890483,0.25882561579981334,0.4151014,
2023-01-12 20:00:00,121.59845,0.28,7.63,5.38,3.0499999999999994,-5.5883965,63.395878,-74.57267,0.259275124008538,0.5248039225241298,0.259275124008538,0.45159966,
2023-01-12 21:00:00,119.25768,0.28,8.63,3.20609,2.01609,9.248512,78.23279,-59.735764,0.08349225521969494,0.37847052754929617,0.08349225521969494,0.5200783,
2023-01-12 22:00:00,122.85581333333333,0.28,9.07176,9.73,7.849999999999999,-6.332453,62.651825,-75.31673,0.08612166498899414,0.3651017457943147,0.08612166498899414,0.6679334,
2023-01-12 23:00:00,141.19075999999998,0.28,17.15,42.45001,39.50001,1.8817308,70.866005,-67.10255,0.10088809563080305,0.21793901556241418,0.10088809563080305,0.10355756,
2023-01-13 00:00:00,166.32143666666667,0.28,27.78273,19.18463,19.18463,31.625282,100.60956,-37.358994,0.11682205917257342,0.15428774037742488,0.11682205917257342,0.22346516,
2023-01-13 01:00:00,177.52094666666667,0.28,12.31651,39.4616,38.4916,51.466557,120.450836,-17.51772,0.1253067571546047,0.30011113098753306,0.1253067571546047,0.19865595,
2023-01-13 02:00:00,172.65667333333332,0.28,8.45502,30.05177,30.05177,66.01367,134.99796,-2.970604,0.12113460913052934,0.3638247044368569,0.12113460913052934,0.3870092,
2023-01-13 03:00:00,166.49951333333334,0.28,7.82,19.44115,19.44115,49.839455,118.82373,-19.144821,0.11556270918194166,0.34924630239586646,0.11556270918194166,0.2327991,
2023-01-13 04:00:00,159.80700333333334,0.28,13.339999999999998,19.0,19.0,39.661423,108.6457,-29.322853,0.11144384223031445,0.34206193801163376,0.11144384223031445,0.2564444,
2023-01-13 05:00:00,149.68127666666666,0.28,12.5,27.74184,27.74184,36.414406,105.39868,-32.56987,0.10567134909826768,0.3041691492816977,0.10567134909826768,0.51042104,
2023-01-13 06:00:00,145.79702999999998,0.28,7.989999999999999,12.307430000000002,12.307430000000002,28.62869,97.61297,-40.355583,0.10166832376391982,0.36607653958499986,0.10166832376391982,0.13543908,
2023-01-13 07:00:00,142.44851666666668,0.28,7.0,13.46278,13.46278,19.705256,88.68953,-49.279022,0.10082860010819429,0.36887480617094537,0.10082860010819429,0.016238077,18.69063927771309
2023-01-13 08:00:00,173.82501666666667,0.12,4.34,6.04,2.7999999999999994,47.50835,116.49263,-21.475925,0.123636663058609,0.24098180366903432,0.123636663058609,0.12778424,19.578226174719124
2023-01-13 09:00:00,169.94611999999998,0.12,4.37,3.0,0.5,39.5979,108.58218,-29.386375,0.11976392711855677,0.4988227355186574,0.11976392711855677,0.026669117,19.949515727562968
2023-01-13 10:00:00,170.30832666666666,0.12,10.47158,4.34897,1.5,48.493305,117.477585,-20.49097,0.36105243334383996,0.5339360738128889,0.36105243334383996,0.02698505,20.14565080860831
2023-01-13 11:00:00,171.94928666666667,0.12,4.35,3.0,1.5,45.77893,114.76321,-23.205345,0.3635777369891495,0.5207338513608495,0.3635777369891495,0.014207236,20.286756458364046
2023-01-13 12:00:00,177.91619666666668,0.16,4.32,3.0,1.5,53.254784,122.23906,-15.729492,0.12525399128914746,0.4776928735478751,0.12525399128914746,0.11705772,20.644460831750852
