magnitude,duration,n_spike_hours,detection_rate,profit_baseline,profit_opportunistic,abs_uplift,uplift_pct
1.5,2,299,0.10033444816053512,478588.65769303706,478596.81766303704,8.159969999978784,0.001705006975982748
2.0,2,299,0.17725752508361203,474662.2647568148,474810.06302681484,147.79827000002842,0.031137564743155544
3.0,2,299,0.4080267558528428,471729.07375325926,471998.0073732593,268.93362000002526,0.05701018549912895
5.0,2,299,0.5585284280936454,470918.6268885556,470990.85563855554,72.2287499999511,0.015337840950824244
8.0,2,299,0.6387959866220736,465106.0580125556,465106.0580125556,0.0,0.0
1.5,3,347,0.07780979827089338,474496.7540524445,474624.1006924445,127.34664000000339,0.02683825314133692
2.0,3,347,0.1585014409221902,471124.57083670376,471251.91747670376,127.34664000000339,0.02703035415321242
3.0,3,347,0.34293948126801155,469145.9731581852,469341.04683831753,195.07368013233645,0.041580593523837805
5.0,3,347,0.46397694524495675,468118.8591138148,468230.45755381486,111.59844000008889,0.02383976586872727
8.0,3,347,0.5360230547550432,462284.7713447778,462284.7713447778,0.0,0.0
1.5,6,491,0.06720977596741344,467012.44835533324,467012.44835533324,0.0,0.0
2.0,6,491,0.13238289205702647,463454.76336270367,463593.7494927037,138.98613000003388,0.029989146943187883
3.0,6,491,0.28105906313645623,461124.348976037,461157.037876037,32.68890000000829,0.0070889555219944
5.0,6,491,0.4215885947046843,460476.6513998148,460509.34029981476,32.68889999995008,0.007098926710091824
8.0,6,491,0.5295315682281059,459878.7508583704,459911.43975837034,32.68889999995008,0.007108156212676242
